,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.3555415,0.5385542,1.0,0.4282873,0.7114458,0.5163175,0.8299076,0.73516,0.5007638,0.5861234,0.53366804,0.5003347,0.35968974,0.5003347,0.2885542,7.620806e-07,0.65933174,0.2885542,0.11413964,0.19917324,0.84036744,0.2772181,0.76317674,0.0,0.2885542,0.2885542,0.70122015,0.12757635,0.0,0.17569454,0.2597874
1,0.1571149,0.06614237,1.0,0.63004935,0.8058521,0.4059055,0.32160872,0.72124046,0.42311245,0.2952929,0.9901707,0.7617007,0.90128183,1.0,0.0,0.36436242,0.72634846,0.0,0.0,0.2423931,0.5603364,0.0,0.20010354,0.39806068,0.0,0.49677283,0.95606935,0.2538071,0.20359258,0.2538071,0.25263238
2,0.45132312,0.2683107,0.9022177,0.65223014,0.7316895,0.57089895,0.73139864,0.48347268,0.42273667,0.72012043,0.5542321,0.90132344,0.49867687,0.6542321,0.20132333,0.21165602,0.4702597,0.20132335,0.20132348,0.6666486,0.5066749,0.06805968,0.19656862,7.805045e-07,0.2013234,0.2762473,0.7837604,1.6740213e-07,0.18394656,1.6066535e-07,1.0770917e-07
3,0.1728697,0.26387984,0.65665793,0.65665835,0.9999999,0.6566579,0.3181451,0.42716593,0.4641409,0.3219048,0.9275504,0.5089135,0.8746727,1.0,6.331446e-08,0.34784392,0.57900834,4.408745e-08,0.19689558,0.31831965,4.2427814e-08,0.06349438,0.20720129,0.41955745,2.530279e-08,0.5983055,0.8720074,0.22719774,0.22719583,0.22719857,3.262211e-07
4,0.5859059,0.33120465,0.99999946,0.51764774,0.41409418,0.5971068,0.5732105,0.2693572,0.28815418,0.51412964,0.57885534,0.80635124,0.93125534,0.5529829,0.33590588,0.42908934,0.75445247,0.33590582,0.1473411,0.43429342,0.5184871,0.33590588,0.100535944,0.04077261,0.33590597,0.4120849,0.6502268,1.1845186e-07,3.7015788e-08,0.6640943,6.553371e-08
5,0.09197395,3.9218776e-08,0.695531,0.69552726,0.787436,0.8249369,0.63546956,0.67544806,0.7407326,0.6354695,0.94691545,0.83580434,0.8913598,0.9999999,0.10325565,0.7298792,0.4419712,9.5445515e-08,0.15802114,0.69297034,0.2575034,1.8240208e-07,0.25682595,0.2968769,0.10113403,0.63842964,0.99999994,0.18832909,0.18832953,0.8419735,0.18536884
6,0.7262583,0.54324555,0.37729514,0.37729514,0.46618897,0.5237417,0.30865332,0.17035824,0.08765149,0.22045237,0.3126306,0.90556514,0.2792973,0.41263062,0.5008396,0.47162765,0.35544124,0.32805037,0.58119005,0.37893587,0.6028446,0.3900036,0.0,0.2247301,0.36218578,0.5524185,0.6400001,0.0,0.5065613,0.52398884,0.0
7,0.37233993,0.5222657,0.80623955,0.39827502,0.8213399,0.5276845,0.3258517,0.67836344,0.10863137,0.54884267,0.80209833,0.22249937,0.2447216,0.9234854,0.6529185,0.49457413,0.41251275,0.56933933,0.5513479,0.43228462,0.21931253,0.41486228,0.0,0.5916255,0.029819136,0.34115875,0.5386268,0.043037333,0.48558143,0.5447216,0.18809652
8,0.62612534,0.44311264,0.47742808,0.57100457,0.0,0.5568874,0.9588321,0.24793482,0.16522807,0.47810736,0.32387465,0.9085518,0.357208,0.63356394,0.76144344,0.29545778,0.28713274,0.62391293,0.9063572,0.0018172112,0.37612534,0.45377487,0.5909304,0.0,0.37774414,0.45228583,0.607866,0.0,0.22352059,1.0,0.25347376
9,0.3877183,0.20950821,0.7239288,0.9960743,0.28896752,0.9960743,0.48153925,0.5040956,0.45840973,0.3988325,0.577925,0.8202987,0.5241458,0.7455487,0.40221852,0.41922373,0.1425209,0.14459807,0.4641992,0.149624,0.06999862,0.021357754,0.48428905,0.6336894,0.0,0.65391654,0.91845745,0.09922428,0.17282394,0.0,0.0
10,0.54164404,0.3586313,0.6604078,0.96941483,0.05501751,0.458356,0.31362283,0.33241615,0.27226573,0.3136213,0.40835598,0.38613376,0.408356,0.4416893,0.4733518,0.1449342,0.29164404,0.7203558,0.478561,0.08189727,0.29164377,0.3913291,0.8493743,0.26152763,0.2549978,0.36780414,0.69306535,0.20901667,0.7587127,0.21285592,0.26484013
11,0.16838047,0.27780464,0.92306817,0.6427361,0.22785443,0.4185922,0.41324282,0.7381039,0.72864056,0.7891259,0.7586022,0.5846218,0.9444805,0.9108173,0.67708826,0.29729712,0.21081734,0.38308632,1.0,0.20529532,0.15784532,0.42627713,0.5238905,0.7865123,0.0,0.58562005,0.96590453,0.0,0.796579,0.22258829,0.0
12,0.51677704,0.33376434,0.5867764,0.5867764,0.26677704,0.23322296,0.91339356,0.29713273,0.45240015,0.8908372,0.37766743,0.56825066,0.52211183,0.41100073,0.6811089,0.0,0.26677704,0.50283515,0.83033365,0.069004714,0.26677704,0.4178788,0.54321545,0.15486747,0.26991114,0.34293753,0.7166096,0.14659205,0.73322296,0.2970665,0.0
13,0.30644584,0.12628047,0.9978825,0.70922434,0.16136616,0.2262614,0.50228745,0.46316314,0.59381646,0.48163888,0.6968198,0.5556709,0.8196991,0.6360397,0.9999925,0.16242972,0.08573703,0.40041035,0.92816955,0.005723402,0.0,0.2523965,0.6715032,0.6974095,0.0,0.6521083,1.0,0.0,0.8556709,0.17463158,0.0
14,0.46327305,0.28026035,0.64028037,1.0,0.28026035,0.16540068,0.4107871,0.32808036,0.30552393,0.68900836,0.48672694,0.7004406,0.6422825,0.5422825,0.45831007,0.0,0.21327305,0.9875466,0.51862454,0.21327305,0.21327305,0.93205583,0.59961975,0.20114583,0.21583764,0.28943354,0.7706184,0.15147652,0.78672695,0.24357608,0.15740219
15,0.5162649,0.17001092,0.5667528,0.5489796,0.47772944,0.47795653,0.3371856,0.89553034,0.22000267,0.31529886,0.86879677,0.63974285,0.99878824,0.9761076,0.6067848,0.19990888,5.09315e-05,0.44414806,0.44430825,0.0,0.0,0.48365688,0.48331583,0.36244574,0.10493122,0.46477425,0.80708843,0.19326714,0.36196616,0.16296767,0.0
16,0.2328701,0.0498574,0.8364235,0.8364235,0.2671299,0.0498574,0.60693026,0.5467799,0.5171299,0.66301143,0.66064787,0.6828701,0.9060188,0.6504632,0.4194483,0.017129898,0.017129898,0.6033224,0.19971122,0.0,0.017129898,0.73853976,0.8442622,0.16888796,0.0,0.0590306,1.0,1.0,0.04743293,0.04743293,1.0
17,0.24309349,0.06008079,0.8466469,0.8466469,0.377497,0.023943596,0.58958846,0.5257035,0.48435012,0.63096666,0.72642684,0.78198236,0.9291287,0.651351,0.37854087,0.0069065094,0.0069065094,0.42868838,0.42243642,0.0069065094,0.0,0.6069445,0.8244699,0.022575155,0.0,0.0,0.994068,1.0,0.03720954,0.03720954,1.0
18,0.45333692,0.15714179,0.53988993,0.53988993,0.18633652,0.0,0.87757325,0.8550169,0.8136635,0.97907704,0.4418921,0.79000527,0.5752254,0.7495884,0.5408021,0.0,0.32841274,0.5545681,0.37778628,0.1613296,0.32835394,0.66728365,0.6364801,1.0283898e-05,0.31381527,0.3138693,0.6765746,0.6863365,0.3439665,0.21075287,0.6863365
19,0.1013146,0.38665417,0.87847614,0.53388816,0.61830896,0.14740087,0.8764545,0.8376739,0.61480665,0.9662589,0.99999994,0.94877297,0.60219824,0.66380155,0.34621555,0.0,0.34565192,0.34621555,0.46971935,0.0,0.0,0.07168896,0.489774,0.6357837,0.1734947,0.40081584,0.6790275,0.68033314,0.3499699,0.0,0.68033314
20,0.24632986,0.3713894,0.5155207,0.5155208,0.44813284,4.9439564e-07,0.8793861,0.54995126,0.8793861,0.98464924,0.39530063,0.5175228,0.5175228,0.22863394,0.33803272,3.911362e-07,0.5858203,0.33803272,0.33803272,0.33798474,0.41568226,0.33803272,0.6582241,0.045913678,0.33803272,0.4129783,0.64761055,0.6619673,0.36833575,0.10757604,0.6619673
21,0.5005312,0.0,0.6030222,0.6714241,0.8211484,0.3969778,0.48795822,0.7693282,0.7918846,0.6627527,0.7680352,0.6383577,0.5716913,0.5828997,0.25052977,0.2505312,0.4441805,0.0,0.2505312,0.2505312,0.0,0.0,0.5552662,0.26375988,0.0,0.54469126,0.8819307,0.20386572,0.28083423,0.1026018,0.21580888
